F102,Los Angeles,Tokyo,2023-08-17 12:00,2023-08-18 08:00,215
F103,Sydney,Singapore,2023-08-18 14:30,2023-08-18 20:00,175
F104,Beijing,Berlin,2023-08-19 09:15,2023-08-19 18:45,223
F106,Mumbai,Istanbul,2023-08-21 06:00,2023-08-21 12:30,167
F107,Seoul,Bangkok,2023-08-22 08:15,2023-08-22 12:45,139
F108,Cape Town,Doha,2023-08-23 11:30,2023-08-23 20:00,205
F109,Rome,Chicago,2023-08-24 13:00,2023-08-24 22:30,212
F110,Madrid,Hong Kong,2023-08-25 15:45,2023-08-26 08:15,238
F111,New York,London,2023-08-26 10:00,2023-08-26 20:00,250
F112,Paris,Dubai,2023-08-27 14:15,2023-08-27 23:45,198
F113,Bangkok,Sydney,2023-08-28 07:30,2023-08-28 17:00,176
F114,Tokyo,Los Angeles,2023-08-29 12:00,2023-08-29 20:30,225
F115,Singapore,Frankfurt,2023-08-30 08:45,2023-08-30 18:15,210
F116,Shanghai,San Francisco,2023-09-01 09:00,2023-09-01 19:30,190
F117,Istanbul,Moscow,2023-09-02 06:30,2023-09-02 12:00,155
F118,Chicago,Seoul,2023-09-03 15:00,2023-09-04 06:45,230
F119,Berlin,Rio de Janeiro,2023-09-04 11:15,2023-09-04 22:30,200
F120,Los Angeles,Singapore,2023-09-05 13:45,2023-09-06 08:15,240
F121,London,Beijing,2023-09-06 10:30,2023-09-07 02:00,218
F122,Toronto,New Delhi,2023-09-07 05:00,2023-09-07 17:45,178
F123,Madrid,Tokyo,2023-09-08 18:30,2023-09-09 14:00,235
F124,Dubai,New York,2023-09-09 23:00,2023-09-10 12:45,260
F125,Sydney,Los Angeles,2023-09-10 08:00,2023-09-10 22:30,245
F126,San Francisco,Paris,2023-09-11 09:30,2023-09-11 21:45,220
F127,Mumbai,London,2023-09-12 02:15,2023-09-12 14:30,198
F128,New York,Tokyo,2023-09-13 17:00,2023-09-14 08:45,255
F129,Seoul,San Francisco,2023-09-14 06:45,2023-09-14 17:30,210
F130,Bangkok,Amsterdam,2023-09-15 11:00,2023-09-15 22:15,195
F131,Shanghai,Dubai,2023-09-16 14:20,2023-09-16 23:55,185
F132,Los Angeles,Sydney,2023-09-17 22:00,2023-09-18 12:30,240
F133,Berlin,Chicago,2023-09-18 05:00,2023-09-18 15:45,200
F134,Rome,Bangkok,2023-09-19 07:30,2023-09-19 21:00,225
F135,Singapore,Madrid,2023-09-20 16:00,2023-09-21 08:45,215
F136,Dubai,Tokyo,2023-09-21 10:30,2023-09-21 22:15,235
F137,Paris,Hong Kong,2023-09-22 13:45,2023-09-23 05:00,245
F138,London,Sydney,2023-09-23 19:30,2023-09-24 13:15,255
F140,Madrid,New York,2023-09-25 08:45,2023-09-25 21:30,210
F141,Toronto,Beijing,2023-09-26 05:15,2023-09-26 19:00,220
F142,Los Angeles,London,2023-09-27 14:00,2023-09-28 07:30,260
F143,Tokyo,Berlin,2023-09-28 12:45,2023-09-29 04:00,230
F144,Sydney,Paris,2023-09-29 18:30,2023-09-30 11:15,240
F145,New Delhi,San Francisco,2023-09-30 06:00,2023-09-30 20:30,190
